index,precision,recall,f1-score,support,Weight_Func,Power,Num_Neighbors,source_model
0,0.8550161198558696,0.9447820620284996,0.8976605276256844,19088.0,uniform,1,35,KNeighborsClassifier
1,0.9032228445505464,0.76285381930981,0.8271251996973009,12895.0,uniform,1,35,KNeighborsClassifier
accuracy,0.8714316980896101,0.8714316980896101,0.8714316980896101,0.8714316980896101,uniform,1,35,KNeighborsClassifier
macro avg,0.879119482203208,0.8538179406691548,0.8623928636614926,31983.0,uniform,1,35,KNeighborsClassifier
weighted avg,0.8744522488912276,0.8714316980896101,0.8692218866715368,31983.0,uniform,1,35,KNeighborsClassifier
0,0.8263153045240947,0.9396479463537301,0.8793450017159385,19088.0,uniform,2,35,KNeighborsClassifier
1,0.8879050306509682,0.7076386196200077,0.7875884688417055,12895.0,uniform,2,35,KNeighborsClassifier
accuracy,0.8461057436763281,0.8461057436763281,0.8461057436763281,0.8461057436763281,uniform,2,35,KNeighborsClassifier
macro avg,0.8571101675875314,0.823643282986869,0.8334667352788221,31983.0,uniform,2,35,KNeighborsClassifier
weighted avg,0.8511472314354549,0.8461057436763281,0.8423503329414885,31983.0,uniform,2,35,KNeighborsClassifier
0,0.8550161198558696,0.9447820620284996,0.8976605276256844,19088.0,distance,1,35,KNeighborsClassifier
1,0.9032228445505464,0.76285381930981,0.8271251996973009,12895.0,distance,1,35,KNeighborsClassifier
accuracy,0.8714316980896101,0.8714316980896101,0.8714316980896101,0.8714316980896101,distance,1,35,KNeighborsClassifier
macro avg,0.879119482203208,0.8538179406691548,0.8623928636614926,31983.0,distance,1,35,KNeighborsClassifier
weighted avg,0.8744522488912276,0.8714316980896101,0.8692218866715368,31983.0,distance,1,35,KNeighborsClassifier
0,0.8263153045240947,0.9396479463537301,0.8793450017159385,19088.0,distance,2,35,KNeighborsClassifier
1,0.8879050306509682,0.7076386196200077,0.7875884688417055,12895.0,distance,2,35,KNeighborsClassifier
accuracy,0.8461057436763281,0.8461057436763281,0.8461057436763281,0.8461057436763281,distance,2,35,KNeighborsClassifier
macro avg,0.8571101675875314,0.823643282986869,0.8334667352788221,31983.0,distance,2,35,KNeighborsClassifier
weighted avg,0.8511472314354549,0.8461057436763281,0.8423503329414885,31983.0,distance,2,35,KNeighborsClassifier
0,0.8447435599907172,0.9534786253143336,0.8958235916619496,19088.0,uniform,1,40,KNeighborsClassifier
1,0.9149262310787507,0.7405971306708027,0.8185831226160374,12895.0,uniform,1,40,KNeighborsClassifier
accuracy,0.8676484382328111,0.8676484382328111,0.8676484382328111,0.8676484382328111,uniform,1,40,KNeighborsClassifier
macro avg,0.8798348955347339,0.8470378779925681,0.8572033571389934,31983.0,uniform,1,40,KNeighborsClassifier
weighted avg,0.8730400157228309,0.8676484382328111,0.8646815521926366,31983.0,uniform,1,40,KNeighborsClassifier
0,0.8139921019565608,0.9502829002514669,0.8768732476070773,19088.0,uniform,2,40,KNeighborsClassifier
1,0.9021548613259099,0.6785575804575417,0.77454191378242,12895.0,uniform,2,40,KNeighborsClassifier
accuracy,0.8407278866898039,0.8407278866898039,0.8407278866898039,0.8407278866898039,uniform,2,40,KNeighborsClassifier
macro avg,0.8580734816412354,0.8144202403545042,0.8257075806947487,31983.0,uniform,2,40,KNeighborsClassifier
weighted avg,0.8495378225602489,0.8407278866898039,0.8356149994856079,31983.0,uniform,2,40,KNeighborsClassifier
0,0.8574411541381929,0.9465632858340318,0.8998007968127489,19088.0,distance,1,40,KNeighborsClassifier
1,0.9065163596370636,0.7670414889492051,0.8309669831135008,12895.0,distance,1,40,KNeighborsClassifier
accuracy,0.8741831598036457,0.8741831598036457,0.8741831598036457,0.8741831598036457,distance,1,40,KNeighborsClassifier
macro avg,0.8819787568876283,0.8568023873916184,0.8653838899631249,31983.0,distance,1,40,KNeighborsClassifier
weighted avg,0.8772274398183335,0.8741831598036457,0.8720481773695509,31983.0,distance,1,40,KNeighborsClassifier
0,0.8279703540026699,0.9422673931265717,0.8814290264879566,19088.0,distance,2,40,KNeighborsClassifier
1,0.8925925925925926,0.7101977510663048,0.7910170589505505,12895.0,distance,2,40,KNeighborsClassifier
accuracy,0.8487008723384298,0.8487008723384298,0.8487008723384298,0.8487008723384298,distance,2,40,KNeighborsClassifier
macro avg,0.8602814732976313,0.8262325720964383,0.8362230427192536,31983.0,distance,2,40,KNeighborsClassifier
weighted avg,0.8540249382073115,0.8487008723384298,0.844976463520291,31983.0,distance,2,40,KNeighborsClassifier
